"","Year","Area","Street","Street.2"
"445",2011,"","STORNAWAY ROAD CASTLE VALE",""
"446",2011,"","STREETLEY ROAD ERDINGTON",""
"447",2011,"","Sumburgh Croft",""
"448",2011,"","Sutton Coldfield Town Centre",""
"449",2011,"","Sutton Coldfield Town Centre",""
"450",2011,"","Sutton New Road",""
"451",2011,"","Sutton New Road Erdington",""
"452",2011,"","SUTTON NEW ROAD ERDINGTON",""
"453",2011,"","SUTTON NEW ROAD ERDINGTON",""
"454",2011,"","Sutton New Road Erdington B Ham",""
"455",2011,"","Sutton Parade",""
"456",2011,"","SUTTON PARADE",""
"457",2011,"","Sutton Parade",""
"458",2011,"","Sutton Town Centre",""
"459",2011,"","Sutton Town Centre",""
"460",2011,"","Sutton Town Centre",""
"461",2011,"","Sutton Town Centre",""
"462",2011,"","Sutton Town Centre",""
"463",2011,"","Tedbury Crescent",""
"464",2011,"","Tesco S Express Walsall Road Four Oaks Sutton Coldfield",""
"465",2011,"","The Parade",""
"466",2011,"","The Parade",""
"467",2011,"","The Parade",""
"468",2011,"","The Parade Sutton",""
"469",2011,"","THE PARADE SUTTON COLDFIELD",""
"470",2011,"","The Parade Birmingham Road Sutton Coldfield",""
"471",2011,"","The Parade Sutton Coldfield",""
"472",2011,"","The Parade Sutton Coldfield",""
"473",2011,"","The Parade Sutton Coldfield",""
"474",2011,"","The Parade Sutton Coldfield",""
"475",2011,"","The Parade Sutton Coldfield",""
"476",2011,"","The Parade Sutton Coldfield",""
"477",2011,"","The Parade Sutton Town Centre",""
"478",2011,"","The Parade",""
"479",2011,"","THE RIDGEWAY",""
"480",2011,"","The Ridgeway",""
"481",2011,"","The Ridgeway",""
"482",2011,"","The Swan PH",""
"483",2011,"","Turnhouse Road",""
"484",2011,"","Upper Holland Road",""
"485",2011,"","Victoria Rd",""
"486",2011,"","Victoria Rd",""
"487",2011,"","Victoria Rd",""
"488",2011,"","Walsh Drive Walmley Sutton Coldfield",""
"489",2011,"","Warren Farm Rd",""
"490",2011,"","Warren Farm Road",""
"491",2011,"","Whitehouse Common Rd",""
"492",2011,"","Wilton Rd",""
"493",2011,"","Windsor House Jarvis Road Erdington",""
"494",2011,"","Witton Lodge Road",""
"495",2011,"","Witton Lodge Road Erdington",""
"496",2011,"","York Road",""
"497",2011,"","Abdon Ave",""
"498",2011,"","Alcester Road South",""
"499",2011,"","Alvechurch Rd",""
"500",2011,"","Arden Road",""
"501",2011,"","Ardencote Froad",""
"502",2011,"","Ashley Close",""
"503",2011,"","Balti Spice Bristol Rd South",""
"504",2011,"","Barnes Hill",""
"505",2011,"","Barrow House",""
"506",2011,"","Bell Street",""
"507",2011,"","Birmingham New Street",""
"508",2011,"","Birmingham New Street",""
"509",2011,"","Birmingham New Street",""
"510",2011,"","Birmingham Street Oldbury",""
"511",2011,"","Blandford Road",""
"512",2011,"","Bournbrook Road",""
"513",2011,"","Bournville Front Office",""
"514",2011,"","Bournville Front Office",""
"515",2011,"","Bournville Lane",""
"516",2011,"","Bournville Lane",""
"517",2011,"","Bournville Lane Front Office",""
"518",2011,"","Bowling Green Road",""
"519",2011,"","Bristol Rd",""
"520",2011,"","Bristol Rd",""
"521",2011,"","Bristol Rd",""
"522",2011,"","Bristol Rd",""
"523",2011,"","Bristol Rd Selly Oak",""
"524",2011,"","Bristol Rd South",""
"525",2011,"","Bristol Rd South",""
"526",2011,"","Bristol Rd Sth",""
"527",2011,"","Bristol Rd Northfield",""
"528",2011,"","Bristol Rd Selly Oak",""
"529",2011,"","Bristol Road",""
"530",2011,"","Bristol Road",""
"531",2011,"","Bristol Road",""
"532",2011,"","Bristol Road",""
"533",2011,"","Bristol Road",""
"534",2011,"","Bristol Road",""
"535",2011,"","Bristol Road",""
"536",2011,"","Bristol Road",""
"537",2011,"","Bristol Road",""
"538",2011,"","Bristol Road",""
"539",2011,"","Bristol Road",""
"540",2011,"","Bristol Road",""
"541",2011,"","Bristol Road",""
"542",2011,"","Bristol Road",""
"543",2011,"","Bristol Road Northfield",""
"544",2011,"","Bristol Road Selly Oak",""
"545",2011,"","Bristol Road Selly Oak",""
"546",2011,"","Bristol Road Selly Oak",""
"547",2011,"","Bristol Road South Northfield",""
"548",2011,"","Bristol Road South Selly Oak",""
"549",2011,"","Bristol Road Selly Oak",""
"550",2011,"","Bristol Road Selly Oak",""
"551",2011,"","Bristol Road Selly Oak",""
"552",2011,"","Broad Street",""
"553",2011,"","Broad Street",""
"554",2011,"","Broad Street",""
"555",2011,"","Broad Street City Centre",""
"556",2011,"","Broad Street City Centre",""
"557",2011,"","Brook Lane",""
"558",2011,"","Bunburry Road",""
"559",2011,"","Bunburry Road",""
"560",2011,"","Burnhill Grove Weoley Castle Birmingham",""
"561",2011,"","Car Park Of Bournville Lane P Stn",""
"562",2011,"","Chinbrook Road Billsley",""
"563",2011,"","Church Hill Nortthfield",""
"564",2011,"","Church Road",""
"565",2011,"","Compton Road Cradley Heath",""
"566",2011,"","Costcutters Ardern Road",""
"567",2011,"","Dawberry Road",""
"568",2011,"","Dawlish Road",""
"569",2011,"","Dingle Club",""
"570",2011,"","Doddington Road",""
"571",2011,"","Dog Kennel Lane",""
"572",2011,"","Dog Pool Lane",""
"573",2011,"","Downfield Drive",""
"574",2011,"","Dudley Bus Station",""
"575",2011,"","Dwellings Lane",""
"576",2011,"","EAFO",""
"577",2011,"","Edgbaston Cricket Ground",""
